Order Id,Order Status,Market
77202,COMPLETE,Pacific Asia
75939,PENDING,Pacific Asia
75938,CLOSED,Pacific Asia
75937,COMPLETE,Pacific Asia
75936,PENDING_PAYMENT,Pacific Asia
75935,CANCELED,Pacific Asia
75934,COMPLETE,Pacific Asia
75933,PROCESSING,Pacific Asia
75932,CLOSED,Pacific Asia
75931,CLOSED,Pacific Asia
75930,SUSPECTED_FRAUD,Pacific Asia
75929,PENDING,Pacific Asia
75928,PENDING,Pacific Asia
75927,COMPLETE,Pacific Asia
75926,PROCESSING,Pacific Asia
75925,COMPLETE,Pacific Asia
75924,PENDING_PAYMENT,Pacific Asia
75923,CLOSED,Pacific Asia
75922,COMPLETE,Pacific Asia
75921,PENDING_PAYMENT,Pacific Asia
75920,PROCESSING,Pacific Asia
75919,PENDING,Pacific Asia
75918,PENDING,Pacific Asia
75917,CANCELED,Pacific Asia
75916,SUSPECTED_FRAUD,Pacific Asia
75915,COMPLETE,Pacific Asia
75914,PENDING,Pacific Asia
75913,PENDING_PAYMENT,Pacific Asia
75912,COMPLETE,Pacific Asia
75911,PROCESSING,Pacific Asia
75910,ON_HOLD,Pacific Asia
75909,COMPLETE,Pacific Asia
75908,PENDING_PAYMENT,Pacific Asia
75907,COMPLETE,Pacific Asia
75906,PENDING_PAYMENT,Pacific Asia
75905,PENDING_PAYMENT,Pacific Asia
75904,CLOSED,Pacific Asia
75903,COMPLETE,Pacific Asia
75902,COMPLETE,Pacific Asia
75901,CANCELED,Pacific Asia
75900,PENDING_PAYMENT,Pacific Asia
75899,COMPLETE,Pacific Asia
75898,CLOSED,Pacific Asia
75897,PENDING_PAYMENT,Pacific Asia
75896,COMPLETE,Pacific Asia
75895,PENDING,Pacific Asia
75894,PENDING,Pacific Asia
75893,PROCESSING,Pacific Asia
28744,PENDING_PAYMENT,Pacific Asia
45461,PENDING_PAYMENT,Pacific Asia
31115,PENDING_PAYMENT,Pacific Asia
45766,PENDING_PAYMENT,Pacific Asia
47752,PENDING_PAYMENT,Pacific Asia
50054,PENDING_PAYMENT,Pacific Asia
20365,PENDING_PAYMENT,Pacific Asia
36146,PENDING_PAYMENT,USCA
41234,PENDING_PAYMENT,USCA
32090,PENDING_PAYMENT,USCA
34773,PENDING_PAYMENT,USCA
44046,PENDING_PAYMENT,Africa
46414,PENDING_PAYMENT,Africa
46599,PENDING_PAYMENT,Africa
48434,PENDING_PAYMENT,Africa
12827,PENDING_PAYMENT,Europe
63936,PENDING_PAYMENT,Europe
65030,PENDING_PAYMENT,Europe
18108,PENDING_PAYMENT,Europe
62571,PENDING_PAYMENT,Europe
17162,PENDING_PAYMENT,Europe
65922,PENDING_PAYMENT,Europe
64813,PENDING_PAYMENT,Europe
67892,PENDING_PAYMENT,Europe
12525,PENDING_PAYMENT,Europe
5895,PENDING_PAYMENT,LATAM
56359,PENDING_PAYMENT,LATAM
58613,PENDING_PAYMENT,LATAM
7824,PENDING_PAYMENT,LATAM
7814,PENDING_PAYMENT,LATAM
60807,PENDING_PAYMENT,LATAM
53413,PENDING_PAYMENT,LATAM
7888,PENDING_PAYMENT,LATAM
6783,PENDING_PAYMENT,LATAM
56973,PENDING_PAYMENT,LATAM
55155,PENDING_PAYMENT,LATAM
5991,PENDING_PAYMENT,LATAM
2263,PENDING_PAYMENT,LATAM
53403,PENDING_PAYMENT,LATAM
51298,PENDING_PAYMENT,LATAM
4919,PENDING,LATAM
52640,PENDING,LATAM
6358,PENDING,LATAM
57106,PENDING,LATAM
6245,PENDING,LATAM
52166,PENDING,LATAM
56172,PENDING,LATAM
55829,PENDING,LATAM
52478,PENDING,LATAM
57242,PENDING,LATAM
3137,PENDING,LATAM
60127,PENDING,LATAM
3828,PENDING,LATAM
60386,PENDING,LATAM
973,PENDING,LATAM
57999,PENDING,LATAM
54585,PENDING,LATAM
57598,PENDING,LATAM
54274,PENDING,LATAM
60673,PENDING,LATAM
59387,PENDING,LATAM
10007,PENDING,LATAM
55984,PENDING,LATAM
58375,PENDING,LATAM
56448,PENDING,LATAM
8221,PROCESSING,LATAM
58034,PROCESSING,LATAM
2203,PROCESSING,LATAM
53069,PROCESSING,LATAM
60146,PROCESSING,LATAM
55409,PROCESSING,LATAM
8678,PROCESSING,LATAM
7980,PROCESSING,LATAM
57185,PROCESSING,LATAM
8636,PROCESSING,LATAM
61192,PROCESSING,LATAM
55876,PROCESSING,LATAM
53331,PROCESSING,LATAM
51725,PROCESSING,LATAM
52562,PROCESSING,LATAM
59754,PROCESSING,LATAM
53574,PROCESSING,LATAM
399,PROCESSING,LATAM
51050,ON_HOLD,Africa
45680,ON_HOLD,Africa
42992,ON_HOLD,Africa
41304,ON_HOLD,Africa
44253,ON_HOLD,Africa
46098,ON_HOLD,Africa
71077,COMPLETE,Europe
69703,COMPLETE,Europe
71112,COMPLETE,Europe
69810,COMPLETE,Europe
71092,COMPLETE,Europe
69610,COMPLETE,Europe
71000,COMPLETE,Europe
70734,COMPLETE,Europe
69626,COMPLETE,Europe
69482,COMPLETE,Europe
70769,COMPLETE,Europe
69643,COMPLETE,Europe
71051,COMPLETE,Europe
69408,COMPLETE,Europe
71123,COMPLETE,Europe
70534,COMPLETE,Europe
69641,COMPLETE,Europe
70960,COMPLETE,Europe
69908,COMPLETE,Europe
70957,COMPLETE,Europe
69637,COMPLETE,Europe
70955,COMPLETE,Europe
70919,COMPLETE,Europe
71009,COMPLETE,Europe
69653,COMPLETE,Europe
69527,COMPLETE,Europe
71080,COMPLETE,Europe
70544,COMPLETE,Europe
69471,COMPLETE,Europe
68879,COMPLETE,Europe
67214,COMPLETE,Europe
17810,COMPLETE,Europe
18793,COMPLETE,Europe
65109,COMPLETE,Europe
15673,COMPLETE,Europe
18183,COMPLETE,Europe
20234,COMPLETE,Europe
13139,COMPLETE,Europe
33824,SUSPECTED_FRAUD,USCA
31364,SUSPECTED_FRAUD,USCA
40495,SUSPECTED_FRAUD,USCA
34506,SUSPECTED_FRAUD,USCA
33607,SUSPECTED_FRAUD,USCA
32617,SUSPECTED_FRAUD,USCA
37496,SUSPECTED_FRAUD,USCA
49075,SUSPECTED_FRAUD,USCA
41623,SUSPECTED_FRAUD,USCA
39271,SUSPECTED_FRAUD,USCA
38598,SUSPECTED_FRAUD,USCA
37845,SUSPECTED_FRAUD,USCA
42331,CANCELED,Africa
41345,CANCELED,Africa
51168,CANCELED,Africa
43599,CANCELED,Africa
41901,CANCELED,Africa
42751,PENDING,Africa
45088,PENDING,Africa
50489,PENDING,Africa
44409,PENDING,Africa
42101,PENDING,Africa
50424,PENDING,Africa
49825,PENDING,Africa
41294,PENDING,Africa
42023,PENDING,Africa
47774,PENDING,Africa
41827,PENDING,Africa
47193,PENDING,Africa
42626,PENDING,Africa
46199,PENDING,Africa
48468,PENDING,Africa
51009,PROCESSING,Africa
46229,PROCESSING,Africa
42882,PROCESSING,Africa
46827,PROCESSING,Africa
48684,PROCESSING,Africa
46416,PROCESSING,Africa
47343,PROCESSING,Africa
41686,COMPLETE,Pacific Asia
41896,COMPLETE,Pacific Asia
28168,COMPLETE,Pacific Asia
24992,COMPLETE,Pacific Asia
30851,COMPLETE,Pacific Asia
25074,COMPLETE,Pacific Asia
76870,COMPLETE,Pacific Asia
25163,COMPLETE,Pacific Asia
28036,COMPLETE,Pacific Asia
22679,COMPLETE,Pacific Asia
23610,COMPLETE,Pacific Asia
42828,COMPLETE,Pacific Asia
48713,COMPLETE,Pacific Asia
45668,COMPLETE,Pacific Asia
74796,COMPLETE,Pacific Asia
27918,COMPLETE,Pacific Asia
30097,COMPLETE,Pacific Asia
30966,COMPLETE,Pacific Asia
30063,COMPLETE,Pacific Asia
22019,COMPLETE,Pacific Asia
24230,COMPLETE,Pacific Asia
42353,COMPLETE,Pacific Asia
42134,COMPLETE,Pacific Asia
21522,COMPLETE,Pacific Asia
23767,COMPLETE,Pacific Asia
25433,COMPLETE,Pacific Asia
73893,COMPLETE,Pacific Asia
30085,COMPLETE,Pacific Asia
30172,COMPLETE,Pacific Asia
27478,COMPLETE,Pacific Asia
76976,COMPLETE,Pacific Asia
24063,COMPLETE,Pacific Asia
51209,COMPLETE,Pacific Asia
73839,COMPLETE,Pacific Asia
74723,COMPLETE,Pacific Asia
26821,COMPLETE,Pacific Asia
77102,COMPLETE,Pacific Asia
41608,COMPLETE,Pacific Asia
47009,COMPLETE,Pacific Asia
49916,COMPLETE,Pacific Asia
29746,COMPLETE,Pacific Asia
72533,COMPLETE,Pacific Asia
48608,COMPLETE,Africa
45506,COMPLETE,Africa
45027,COMPLETE,Africa
46308,COMPLETE,Africa
43685,COMPLETE,Africa
41893,COMPLETE,Africa
46339,COMPLETE,Africa
46667,COMPLETE,Africa
47647,COMPLETE,Africa
48565,COMPLETE,Africa
43889,COMPLETE,Africa
45138,COMPLETE,Africa
44160,COMPLETE,Africa
49214,COMPLETE,Africa
41825,COMPLETE,Africa
44504,COMPLETE,Africa
44496,COMPLETE,Africa
45559,COMPLETE,Africa
44074,COMPLETE,Africa
49857,COMPLETE,Africa
41786,COMPLETE,Africa
48042,ON_HOLD,Africa
44301,ON_HOLD,Africa
41591,ON_HOLD,Africa
44981,ON_HOLD,Africa
41545,ON_HOLD,Africa
49910,ON_HOLD,Africa
19590,COMPLETE,Europe
43650,COMPLETE,Europe
15202,COMPLETE,Europe
15462,COMPLETE,Europe
15155,COMPLETE,Europe
64451,COMPLETE,Europe
67028,COMPLETE,Europe
62336,COMPLETE,Europe
11334,COMPLETE,Europe
62885,COMPLETE,Europe
66998,COMPLETE,Europe
47002,COMPLETE,Europe
63445,COMPLETE,Europe
67566,COMPLETE,Europe
18884,COMPLETE,Europe
18845,COMPLETE,Europe
66854,COMPLETE,Europe
46955,COMPLETE,Europe
55002,PROCESSING,LATAM
60445,PROCESSING,LATAM
53586,PROCESSING,LATAM
56618,PROCESSING,LATAM
51865,PROCESSING,LATAM
2937,PROCESSING,LATAM
54446,PROCESSING,LATAM
58623,PROCESSING,LATAM
7411,PROCESSING,LATAM
5348,PROCESSING,LATAM
59742,PROCESSING,LATAM
59498,PROCESSING,LATAM
3459,PROCESSING,LATAM
8470,PROCESSING,LATAM
53455,PROCESSING,LATAM
2014,PROCESSING,LATAM
55899,PROCESSING,LATAM
52582,PROCESSING,LATAM
56222,PROCESSING,LATAM
57829,PROCESSING,LATAM
56217,PROCESSING,LATAM
5893,PROCESSING,LATAM
5528,PROCESSING,LATAM
367,PROCESSING,LATAM
52353,PROCESSING,LATAM
1784,PROCESSING,LATAM
60317,PROCESSING,LATAM
6776,PROCESSING,LATAM
4487,PROCESSING,LATAM
9681,PROCESSING,LATAM
60868,PROCESSING,LATAM
53231,PROCESSING,LATAM
52601,PROCESSING,LATAM
4660,PROCESSING,LATAM
3539,PROCESSING,LATAM
54488,PROCESSING,LATAM
52549,PROCESSING,LATAM
60361,PROCESSING,LATAM
5712,PROCESSING,LATAM
9309,PROCESSING,LATAM
8095,PROCESSING,LATAM
75892,PROCESSING,Pacific Asia
75891,COMPLETE,Pacific Asia
75890,COMPLETE,Pacific Asia
75889,COMPLETE,Pacific Asia
75888,PENDING_PAYMENT,Pacific Asia
75887,COMPLETE,Pacific Asia
75886,CANCELED,Pacific Asia
75885,PENDING_PAYMENT,Pacific Asia
75884,PENDING,Pacific Asia
75883,COMPLETE,Pacific Asia
75882,PENDING,Pacific Asia
75881,COMPLETE,Pacific Asia
75880,COMPLETE,Pacific Asia
75879,PROCESSING,Pacific Asia
75878,COMPLETE,Pacific Asia
75877,PROCESSING,Pacific Asia
75876,PENDING,Pacific Asia
75875,PENDING_PAYMENT,Pacific Asia
75874,PENDING_PAYMENT,Pacific Asia
75873,PROCESSING,Pacific Asia
75872,PENDING,Pacific Asia
75871,COMPLETE,Pacific Asia
75870,COMPLETE,Pacific Asia
75869,COMPLETE,Pacific Asia
75868,PROCESSING,Pacific Asia
75867,PENDING,Pacific Asia
75866,PENDING_PAYMENT,Pacific Asia
75865,CLOSED,Pacific Asia
75864,PENDING,Pacific Asia
75863,PENDING_PAYMENT,Pacific Asia
75862,PENDING,Pacific Asia
75861,COMPLETE,Pacific Asia
75860,COMPLETE,Pacific Asia
75859,SUSPECTED_FRAUD,Pacific Asia
75858,COMPLETE,Pacific Asia
75857,COMPLETE,Pacific Asia
75856,ON_HOLD,Pacific Asia
75855,PENDING_PAYMENT,Pacific Asia
75854,COMPLETE,Pacific Asia
75853,PENDING_PAYMENT,Pacific Asia
75852,COMPLETE,Pacific Asia
75851,PENDING,Pacific Asia
75850,COMPLETE,Pacific Asia
75849,PENDING_PAYMENT,Pacific Asia
75848,PENDING_PAYMENT,Pacific Asia
75847,SUSPECTED_FRAUD,Pacific Asia
75846,PROCESSING,Pacific Asia
75845,PENDING_PAYMENT,Pacific Asia
75844,PENDING,Pacific Asia
